Weight;Zone 1;Zone 2;Zone 3;Zone 4;Zone 5;Zone 51;Zone 6;Zone 61;Zone 7
1;€ 5,18;€ 5,57;€ 7,60;€ 8,52;€ 8,47;€ 11,82;€ 13,13;€ 15,73;€ 139,63
2;€ 5,55;€ 5,57;€ 7,60;€ 8,52;€ 8,47;€ 11,82;€ 13,13;€ 15,73;€ 155,00
3;€ 6,05;€ 5,57;€ 7,60;€ 8,52;€ 8,51;€ 11,82;€ 13,13;€ 15,73;€ 170,19
4;€ 6,43;€ 5,79;€ 7,80;€ 9,02;€ 8,91;€ 12,33;€ 13,63;€ 16,74;€ 185,56
5;€ 6,93;€ 6,06;€ 8,07;€ 9,53;€ 9,32;€ 12,93;€ 14,21;€ 17,77;€ 200,69
6;€ 7,33;€ 6,22;€ 8,35;€ 9,86;€ 9,74;€ 13,49;€ 14,80;€ 18,61;€ 215,94
7;€ 7,75;€ 6,38;€ 8,57;€ 10,19;€ 10,17;€ 14,08;€ 15,42;€ 19,45;€ 231,19
8;€ 8,18;€ 6,57;€ 8,83;€ 10,52;€ 10,57;€ 14,67;€ 16,02;€ 20,26;€ 246,50
9;€ 8,70;€ 6,71;€ 9,07;€ 10,83;€ 10,99;€ 15,23;€ 16,63;€ 21,12;€ 261,75
10;€ 9,00;€ 6,91;€ 9,34;€ 11,17;€ 11,41;€ 15,84;€ 17,25;€ 21,97;€ 266,31
12;€ 9,45;€ 7,05;€ 9,81;€ 11,62;€ 11,83;€ 16,53;€ 18,15;€ 23,16;€ 285,88
14;€ 9,73;€ 7,24;€ 10,29;€ 12,08;€ 12,27;€ 17,24;€ 19,07;€ 24,35;€ 295,06
16;€ 10,13;€ 7,41;€ 10,74;€ 12,50;€ 12,68;€ 17,95;€ 19,96;€ 25,55;€ 301,81
18;€ 10,55;€ 7,55;€ 11,23;€ 12,96;€ 13,10;€ 18,68;€ 20,88;€ 26,72;€ 313,00
20;€ 10,93;€ 7,77;€ 11,68;€ 13,39;€ 13,51;€ 19,40;€ 21,77;€ 27,93;€ 322,31
22;€ 11,15;€ 9,16;€ 13,27;€ 14,63;€ 14,68;€ 20,87;€ 23,05;€ 29,13;€ 331,69
24;€ 11,23;€ 10,57;€ 14,87;€ 15,86;€ 15,87;€ 22,32;€ 24,30;€ 30,32;€ 340,63
26;€ 11,33;€ 11,95;€ 16,42;€ 17,09;€ 17,05;€ 23,74;€ 25,57;€ 31,52;€ 349,75
28;€ 11,43;€ 13,36;€ 17,98;€ 18,33;€ 18,22;€ 25,18;€ 26,82;€ 32,71;€ 358,88
30;€ 11,55;€ 14,77;€ 19,59;€ 19,57;€ 19,40;€ 26,62;€ 28,07;€ 33,91;€ 367,88
32;€ 12,23;€ 16,17;€ 20,90;€ 20,78;€ 20,52;€ 28,05;€ 29,65;€ 35,59;€ 377,06
34;€ 12,80;€ 17,53;€ 22,23;€ 21,99;€ 21,62;€ 29,51;€ 31,23;€ 37,30;€ 386,06
36;€ 13,40;€ 19,00;€ 23,58;€ 23,25;€ 22,73;€ 30,95;€ 32,81;€ 38,98;€ 408,81
38;€ 14,03;€ 20,37;€ 24,91;€ 24,48;€ 23,83;€ 32,40;€ 34,40;€ 40,67;€ 427,38
40;€ 14,65;€ 21,77;€ 26,21;€ 25,71;€ 24,92;€ 33,83;€ 36,00;€ 42,37;€ 435,94
42;€ 16,28;€ 23,17;€ 27,57;€ 26,95;€ 26,03;€ 35,43;€ 37,78;€ 44,08;€ 444,63
44;€ 17,98;€ 24,55;€ 28,89;€ 28,17;€ 27,13;€ 37,05;€ 39,58;€ 45,75;€ 453,00
46;€ 19,63;€ 25,97;€ 30,19;€ 29,41;€ 28,24;€ 38,65;€ 41,38;€ 47,46;€ 461,75
48;€ 21,28;€ 27,36;€ 31,52;€ 30,63;€ 29,36;€ 40,24;€ 43,18;€ 49,17;€ 470,19
50;€ 22,88;€ 28,77;€ 32,82;€ 31,88;€ 30,44;€ 41,87;€ 44,97;€ 50,86;€ 478,94
55;€ 24,53;€ 30,64;€ 36,32;€ 34,74;€ 32,72;€ 45,51;€ 50,15;€ 55,12;€ 495,50
60;€ 27,75;€ 32,53;€ 39,78;€ 37,62;€ 35,01;€ 49,15;€ 55,30;€ 60,04;€ 512,13
65;€ 31,00;€ 34,40;€ 43,24;€ 40,44;€ 37,28;€ 52,78;€ 60,49;€ 65,67;€ 533,94
70;€ 34,23;€ 36,24;€ 46,70;€ 43,32;€ 39,55;€ 56,46;€ 65,68;€ 71,31;€ 579,75
